numservers,numusers,f,messagesize,numlayers,binsize,bandwidth,latency,round,pathestablishment,roundtime
128, 10000, 0.1, 10000, 62, 9, 200, 150, 0, false, 47737832291
128, 10000, 0.1, 10000, 62, 9, 200, 150, 1, false, 45499807061
128, 10000, 0.1, 10000, 62, 9, 200, 150, 2, false, 46663690653
128, 10000, 0.1, 10000, 62, 9, 200, 150, 3, false, 45602457791
128, 10000, 0.1, 10000, 62, 9, 200, 150, 4, false, 45355674759
128, 25000, 0.1, 10000, 63, 14, 200, 150, 0, false, 67456636400
128, 25000, 0.1, 10000, 63, 14, 200, 150, 1, false, 67955144457
128, 25000, 0.1, 10000, 63, 14, 200, 150, 2, false, 66535793222
128, 25000, 0.1, 10000, 63, 14, 200, 150, 3, false, 67523628575
128, 25000, 0.1, 10000, 63, 14, 200, 150, 4, false, 66741643099
128, 50000, 0.1, 10000, 64, 18, 200, 150, 0, false, 96324517404
128, 50000, 0.1, 10000, 64, 18, 200, 150, 1, false, 87326533017
128, 50000, 0.1, 10000, 64, 18, 200, 150, 2, false, 86319890190
128, 50000, 0.1, 10000, 64, 18, 200, 150, 3, false, 81804241742
128, 50000, 0.1, 10000, 64, 18, 200, 150, 4, false, 86200937562
128, 75000, 0.1, 10000, 64, 22, 200, 150, 0, false, 137536425130
128, 75000, 0.1, 10000, 64, 22, 200, 150, 1, false, 110075757836
128, 75000, 0.1, 10000, 64, 22, 200, 150, 2, false, 108956315075
128, 75000, 0.1, 10000, 64, 22, 200, 150, 3, false, 105820337703
128, 75000, 0.1, 10000, 64, 22, 200, 150, 4, false, 105571843140
128, 100000, 0.1, 10000, 64, 26, 200, 150, 0, false, 164187538391
128, 100000, 0.1, 10000, 64, 26, 200, 150, 1, false, 143949977648
128, 100000, 0.1, 10000, 64, 26, 200, 150, 2, false, 138767923143
128, 100000, 0.1, 10000, 64, 26, 200, 150, 3, false, 138737836287
128, 100000, 0.1, 10000, 64, 26, 200, 150, 4, false, 138465863859
128, 10000, 0.1, 1000, 62, 9, 200, 150, 0, false, 16833867687
128, 10000, 0.1, 1000, 62, 9, 200, 150, 1, false, 17015648644
128, 10000, 0.1, 1000, 62, 9, 200, 150, 2, false, 16987295744
128, 10000, 0.1, 1000, 62, 9, 200, 150, 3, false, 17212584273
128, 10000, 0.1, 1000, 62, 9, 200, 150, 4, false, 16687745050
128, 25000, 0.1, 1000, 63, 14, 200, 150, 0, false, 23045240407
128, 25000, 0.1, 1000, 63, 14, 200, 150, 1, false, 21531352131
128, 25000, 0.1, 1000, 63, 14, 200, 150, 2, false, 22964848980
128, 25000, 0.1, 1000, 63, 14, 200, 150, 3, false, 22182235667
128, 25000, 0.1, 1000, 63, 14, 200, 150, 4, false, 23210631462
128, 50000, 0.1, 1000, 64, 18, 200, 150, 0, false, 28052917815
128, 50000, 0.1, 1000, 64, 18, 200, 150, 1, false, 27760424550
128, 50000, 0.1, 1000, 64, 18, 200, 150, 2, false, 30259906706
128, 50000, 0.1, 1000, 64, 18, 200, 150, 3, false, 29072040596
128, 50000, 0.1, 1000, 64, 18, 200, 150, 4, false, 28370898790
128, 75000, 0.1, 1000, 64, 22, 200, 150, 0, false, 35693564420
128, 75000, 0.1, 1000, 64, 22, 200, 150, 1, false, 33030054022
128, 75000, 0.1, 1000, 64, 22, 200, 150, 2, false, 34898868185
128, 75000, 0.1, 1000, 64, 22, 200, 150, 3, false, 31821319173
128, 75000, 0.1, 1000, 64, 22, 200, 150, 4, false, 32283973744
128, 100000, 0.1, 1000, 64, 26, 200, 150, 0, false, 37982773399
128, 100000, 0.1, 1000, 64, 26, 200, 150, 1, false, 37593360261
128, 100000, 0.1, 1000, 64, 26, 200, 150, 2, false, 39648888267
128, 100000, 0.1, 1000, 64, 26, 200, 150, 3, false, 38168446552
128, 100000, 0.1, 1000, 64, 26, 200, 150, 4, false, 35699639870
128, 10000, 0.1, 5000, 62, 9, 200, 150, 0, false, 30200552275
128, 10000, 0.1, 5000, 62, 9, 200, 150, 1, false, 28880486361
128, 10000, 0.1, 5000, 62, 9, 200, 150, 2, false, 29053513679
128, 10000, 0.1, 5000, 62, 9, 200, 150, 3, false, 29239663181
128, 10000, 0.1, 5000, 62, 9, 200, 150, 4, false, 29594046175
128, 25000, 0.1, 5000, 63, 14, 200, 150, 0, false, 44465634206
128, 25000, 0.1, 5000, 63, 14, 200, 150, 1, false, 42544117828
128, 25000, 0.1, 5000, 63, 14, 200, 150, 2, false, 44270625381
128, 25000, 0.1, 5000, 63, 14, 200, 150, 3, false, 44735242432
128, 25000, 0.1, 5000, 63, 14, 200, 150, 4, false, 44158439239
128, 50000, 0.1, 5000, 64, 18, 200, 150, 0, false, 53874661235
128, 50000, 0.1, 5000, 64, 18, 200, 150, 1, false, 52847816171
128, 50000, 0.1, 5000, 64, 18, 200, 150, 2, false, 54615316973
128, 50000, 0.1, 5000, 64, 18, 200, 150, 3, false, 54574893405
128, 50000, 0.1, 5000, 64, 18, 200, 150, 4, false, 54399260183
128, 75000, 0.1, 5000, 64, 22, 200, 150, 0, false, 65871848030
128, 75000, 0.1, 5000, 64, 22, 200, 150, 1, false, 64196205512
128, 75000, 0.1, 5000, 64, 22, 200, 150, 2, false, 65627825692
