numservers,numusers,f,messagesize,numlayers,binsize,bandwidth,latency,round,pathestablishment,roundtime
256, 2000000, 0.1, 1000, 67, 69, 200, 150, 0, false, 424670157085
256, 2000000, 0.1, 1000, 67, 69, 200, 150, 1, false, 355710529476
256, 2000000, 0.1, 1000, 67, 69, 200, 150, 2, false, 346213985592
256, 2000000, 0.1, 1000, 67, 69, 200, 150, 3, false, 328886753146
256, 2000000, 0.1, 1000, 67, 69, 200, 150, 4, false, 341774641824
256, 2000000, 0.2, 1000, 99, 69, 200, 150, 0, false, 832380571855
256, 2000000, 0.2, 1000, 99, 69, 200, 150, 1, false, 675522815815
256, 2000000, 0.2, 1000, 99, 69, 200, 150, 2, false, 663735334626
256, 2000000, 0.2, 1000, 99, 69, 200, 150, 3, false, 668281026730
256, 2000000, 0.2, 1000, 99, 69, 200, 150, 4, false, 674397516054
256, 2000000, 0.3, 1000, 141, 69, 200, 150, 0, false, 1467621522814
256, 2000000, 0.3, 1000, 141, 69, 200, 150, 1, false, 1218220742348
256, 2000000, 0.3, 1000, 141, 69, 200, 150, 2, false, 1174396359079
256, 2000000, 0.3, 1000, 141, 69, 200, 150, 3, false, 1143173657692
256, 2000000, 0.3, 1000, 141, 69, 200, 150, 4, false, 1115643852584
192, 2000000, 0.1, 1000, 67, 104, 200, 150, 0, false, 502756170399
192, 2000000, 0.1, 1000, 67, 104, 200, 150, 1, false, 342917642893
192, 2000000, 0.1, 1000, 67, 104, 200, 150, 2, false, 324737307887
192, 2000000, 0.1, 1000, 67, 104, 200, 150, 3, false, 322055751284
192, 2000000, 0.1, 1000, 67, 104, 200, 150, 4, false, 319518448567
192, 2000000, 0.3, 1000, 141, 104, 200, 150, 0, false, 1249075914845
192, 2000000, 0.3, 1000, 141, 104, 200, 150, 1, false, 1093000391737
192, 2000000, 0.3, 1000, 141, 104, 200, 150, 2, false, 1099151847690
192, 2000000, 0.3, 1000, 141, 104, 200, 150, 3, false, 1064502107630
192, 2000000, 0.3, 1000, 141, 104, 200, 150, 4, false, 1066512257738
192, 2000000, 0.2, 1000, 99, 104, 200, 150, 0, false, 1236327962289
192, 2000000, 0.2, 1000, 99, 104, 200, 150, 1, false, 793928956060
192, 2000000, 0.2, 1000, 99, 104, 200, 150, 2, false, 714772290563
192, 2000000, 0.2, 1000, 99, 104, 200, 150, 3, false, 682051622524
192, 2000000, 0.2, 1000, 99, 104, 200, 150, 4, false, 657114126149
128, 2000000, 0.1, 1000, 67, 191, 200, 150, 0, false, 335546318013
128, 2000000, 0.1, 1000, 67, 191, 200, 150, 1, false, 288198403054
128, 2000000, 0.1, 1000, 67, 191, 200, 150, 2, false, 288008713087
128, 2000000, 0.1, 1000, 67, 191, 200, 150, 3, false, 278718583841
128, 2000000, 0.1, 1000, 67, 191, 200, 150, 4, false, 285073469829
128, 2000000, 0.2, 1000, 99, 191, 200, 150, 0, false, 983662893332
128, 2000000, 0.2, 1000, 99, 191, 200, 150, 1, false, 821212474603
128, 2000000, 0.2, 1000, 99, 191, 200, 150, 2, false, 790984184482
128, 2000000, 0.2, 1000, 99, 191, 200, 150, 3, false, 764613952361
128, 2000000, 0.2, 1000, 99, 191, 200, 150, 4, false, 755999942811
128, 2000000, 0.3, 1000, 141, 191, 200, 150, 0, false, 1702734131896
128, 2000000, 0.3, 1000, 141, 191, 200, 150, 1, false, 1516450203107
128, 2000000, 0.3, 1000, 141, 191, 200, 150, 2, false, 1484066430700
128, 2000000, 0.3, 1000, 141, 191, 200, 150, 3, false, 1430080067055
128, 2000000, 0.3, 1000, 141, 191, 200, 150, 4, false, 1340816187882
64, 2000000, 0.1, 1000, 67, 614, 200, 150, 0, false, 508583019552
64, 2000000, 0.1, 1000, 67, 614, 200, 150, 1, false, 460553510798
64, 2000000, 0.1, 1000, 67, 614, 200, 150, 2, false, 439907945279
64, 2000000, 0.1, 1000, 67, 614, 200, 150, 3, false, 444486326440
64, 2000000, 0.1, 1000, 67, 614, 200, 150, 4, false, 430169032956
64, 2000000, 0.2, 1000, 99, 614, 200, 150, 0, false, 1175800417245
64, 2000000, 0.2, 1000, 99, 614, 200, 150, 1, false, 1183795394549
64, 2000000, 0.2, 1000, 99, 614, 200, 150, 2, false, 1192507245490
64, 2000000, 0.2, 1000, 99, 614, 200, 150, 3, false, 1201811292179
64, 2000000, 0.2, 1000, 99, 614, 200, 150, 4, false, 1210528350956
64, 2000000, 0.3, 1000, 141, 614, 200, 150, 0, false, 2847950278115
64, 2000000, 0.3, 1000, 141, 614, 200, 150, 1, false, 3160553349149
