numservers,numusers,f,messagesize,numlayers,binsize,bandwidth,latency,round,pathestablishment,roundtime
128, 10000, 0.2, 10000, 92, 9, 200, 150, 0, false, 74156091292
128, 10000, 0.2, 10000, 92, 9, 200, 150, 1, false, 74002106398
128, 10000, 0.2, 10000, 92, 9, 200, 150, 2, false, 70861501867
128, 10000, 0.2, 10000, 92, 9, 200, 150, 3, false, 70788518181
128, 10000, 0.2, 10000, 92, 9, 200, 150, 4, false, 73817693393
128, 25000, 0.2, 10000, 93, 14, 200, 150, 0, false, 114126220675
128, 25000, 0.2, 10000, 93, 14, 200, 150, 1, false, 104465704768
128, 25000, 0.2, 10000, 93, 14, 200, 150, 2, false, 107541663513
128, 25000, 0.2, 10000, 93, 14, 200, 150, 3, false, 107346064596
128, 25000, 0.2, 10000, 93, 14, 200, 150, 4, false, 107023225080
128, 50000, 0.2, 10000, 94, 18, 200, 150, 0, false, 158907439447
128, 50000, 0.2, 10000, 94, 18, 200, 150, 1, false, 151445189680
128, 50000, 0.2, 10000, 94, 18, 200, 150, 2, false, 144940514768
128, 50000, 0.2, 10000, 94, 18, 200, 150, 3, false, 145463279006
128, 50000, 0.2, 10000, 94, 18, 200, 150, 4, false, 140904388874
128, 75000, 0.2, 10000, 95, 22, 200, 150, 0, false, 227809526756
128, 75000, 0.2, 10000, 95, 22, 200, 150, 1, false, 200187667673
128, 75000, 0.2, 10000, 95, 22, 200, 150, 2, false, 203600536263
128, 75000, 0.2, 10000, 95, 22, 200, 150, 3, false, 199357638485
128, 75000, 0.2, 10000, 95, 22, 200, 150, 4, false, 201771606247
128, 100000, 0.2, 10000, 95, 26, 200, 150, 0, false, 280054674495
128, 100000, 0.2, 10000, 95, 26, 200, 150, 1, false, 249537642663
128, 100000, 0.2, 10000, 95, 26, 200, 150, 2, false, 250264444352
128, 100000, 0.2, 10000, 95, 26, 200, 150, 3, false, 245724619899
128, 100000, 0.2, 10000, 95, 26, 200, 150, 4, false, 243201142281
128, 10000, 0.2, 10000, 92, 9, 100, 150, 0, false, 142104859876
128, 10000, 0.2, 10000, 92, 9, 100, 150, 1, false, 138546553020
128, 10000, 0.2, 10000, 92, 9, 100, 150, 2, false, 133915813040
128, 10000, 0.2, 10000, 92, 9, 100, 150, 3, false, 135564380801
128, 10000, 0.2, 10000, 92, 9, 100, 150, 4, false, 133597854775
128, 25000, 0.2, 10000, 93, 14, 100, 150, 0, false, 207864829041
128, 25000, 0.2, 10000, 93, 14, 100, 150, 1, false, 204980473917
128, 25000, 0.2, 10000, 93, 14, 100, 150, 2, false, 198279589909
128, 25000, 0.2, 10000, 93, 14, 100, 150, 3, false, 202476946161
